id,"partid","size","time"
418,"p2521vbthn","61","35838"
419,"pd2gpvnm01","25","10361"
420,"pt7sshg3fh","48","19592"
421,"pqd8ou00qj","17","8488"
422,"pvn7s7cu0m","39","26934"
423,"ps3qmc4q9s","31","9419"
424,"pchsk1eqj8","19","16724"
425,"p412gih8pd","25","11600"
426,"pm6pg4bqjt","28","10824"
427,"pv20l5fgol","33","11386"
428,"pk82s6jfsm","25","13058"
429,"pdc1fbbvv7","34","11180"
430,"p714q4qa4f","27","11635"
431,"poa9a10rql","29","42346"
432,"pakhiuk0o7","32","22287"
433,"pdmvag9og5","20","30439"
434,"p09og45pgs","33","12732"
435,"p0lm91nst3","32","6637"
436,"phgodepple","30","7499"
437,"pgd7ppeh4f","38","36321"
438,"phfrauvddt","51","24911"
439,"plpn96tiv6","29","16438"
440,"pc7o4njlga","26","14280"
441,"pqtqojnaa8","30","15241"
442,"pp96pg3pmu","37","8578"
443,"pvifpj5bh7","31","11536"
444,"pe8ll3r0q7","11","6601"
445,"pgl419hdma","26","8894"
446,"p425m35pmq","25","26131"
447,"p5sslebg7r","41","25625"
448,"poerddee8j","29","19180"
449,"ptulfbgfih","54","26227"
450,"pb2m3v12ec","22","8888"
451,"puemkoirj1","20","11088"
452,"pk2igr4ecf","28","24111"
453,"pu9pm03pvi","21","6424"
454,"p2prkf50ev","32","19719"
455,"pti56j6djb","37","13383"
456,"pen5368pto","28","8798"
457,"p0gpi0a6v1","29","22630"
458,"pf4fm5lpr7","41","14667"
459,"p33irj0ffk","30","7384"
460,"pn5nbd5n3p","28","13093"
461,"phg9946oc4","23","28337"
462,"pm47ha3rkk","28","9538"
463,"pis13ir8r7","31","8893"
464,"p16mhgme64","26","16572"
465,"ppc9t9bm46","42","24802"
466,"pg7v0posp4","40","21620"
467,"pfngsl17d1","25","12551"
468,"p1vd7vcot2","27","8880"
469,"p7po8kel1s","32","9988"
470,"pdt3k4grkg","28","51508"
471,"p5mhsoucdd","28","10641"
472,"p2upcebb5o","31","9247"
473,"pi5rgi8v72","12","14686"
474,"p6e8aeahb6","35","33715"
475,"pu9louv4mb","32","15664"
476,"pbfltesp22","20","11001"
477,"pa02d22d6a","31","15883"
478,"p6u7vknqnq","31","65262"
479,"ppql5aa0sg","44","15941"
480,"pgkedk5gje","24","7184"
481,"pi1eakaefq","25","22274"
482,"po02mbu8v4","27","15610"
483,"pkg802didd","25","33825"
484,"p8no32nq3l","21","18093"
485,"pg01kgbfph","37","15309"
486,"pgroai2fuh","37","25004"
487,"pesfdcklu5","34","8158"
488,"p689f4befn","27","19037"
489,"pbi22mdfms","29","9123"
490,"pjlfp2imvb","56","12029"
491,"p3olj2a09c","26","16426"
492,"pnqkdqu7kv","39","10765"
493,"p734dm5r08","37","22356"
494,"p734dm5r08","37","22356"
495,"p734dm5r08","37","22356"
496,"pb9t1l9k53","37","27642"
497,"pg0pmfo7f0","34","18263"
498,"paoguq6fcd","26","16572"
499,"pm4u2t7mmf","14","16160"
500,"plce134lpv","15","13384"
501,"pm52ltv36t","23","25236"
