id,"partid",age,"sex","job","education"
262,"pdnlfv0hlq",49,"male","working","high_school"
263,"pd089crh0c",26,"male","working","high_school"
264,"p8vndn27hi",30,"male","working","high_school"
265,"pf21ntt7rd",34,"female","unemployed","high_school"
266,"phja4u7e5q",37,"female","working","bachelor"
267,"pt84g92e6n",25,"male","working","bachelor"
268,"phsh405le5",54,"male","working","master"
269,"p0ajipq59e",26,"male","working","high_school"
270,"pr5n0cgvnu",55,"female","working","master"
271,"pfghnipkmd",46,"female","working","bachelor"
272,"ps17df6f7a",28,"male","working","high_school"
273,"p16mhgme64",30,"female","working","bachelor"
274,"pj7elj33fb",47,"male","working","bachelor"
275,"p425m35pmq",61,"female","retired","high_school"
276,"phul8cqcf4",51,"female","working","high_school"
277,"pfngsl17d1",30,"male","working","high_school"
278,"ped7fncafs",36,"male","working","bachelor"
279,"pu87c8je19",31,"female","working","professional"
280,"p2ptpto6s5",57,"female","working","professional"
281,"pbltdqgj5u",28,"female","working","high_school"
282,"pbjia6u8ls",26,"male","working","bachelor"
283,"p4kk2m66ih",28,"male","working","bachelor"
284,"pm5h6dkknh",36,"male","working","bachelor"
285,"pg7v0posp4",54,"female","working","bachelor"
286,"phbmbq04d5",39,"female","working","professional"
287,"pkftjqo4bo",46,"male","working","bachelor"
288,"p40cfmlag1",33,"male","working","master"
289,"pv5bo4ccno",35,"female","unemployed","high_school"
290,"plhe7o1oio",25,"male","working","bachelor"
291,"ptiq23bg9a",32,"female","working","bachelor"
292,"plkh2mavui",24,"male","working","bachelor"
293,"pcmf5bdpvs",57,"male","working","bachelor"
294,"pnq0rucdol",37,"male","working","bachelor"
295,"p5h8fcb5gi",41,"female","working","high_school"
296,"plpn96tiv6",61,"female","working","bachelor"
297,"pqtqojnaa8",51,"female","working","bachelor"
298,"p4kqt9gaa6",53,"male","working","master"
299,"prrs9ujid1",30,"male","working","master"
300,"p0hq4vm27b",26,"female","unemployed","primary"
301,"p3olj2a09c",29,"female","working","high_school"
302,"plvkvp469u",34,"female","unemployed","high_school"
303,"p95n5lgnk1",26,"male","working","bachelor"
304,"p6lagjme82",28,"male","working","master"
305,"pvmvk3ur5d",35,"female","unemployed","bachelor"
306,"pf3ne7haje",59,"female","working","professional"
307,"pk2lrl22fm",44,"female","working","high_school"
308,"pqbo2uv9go",35,"male","working","bachelor"
309,"p96k5ojups",32,"female","working","professional"
310,"p1tp1lq0m6",33,"female","working","professional"
311,"pme0qnpl0j",33,"male","working","master"
312,"peqcc6r3ae",46,"female","working","high_school"
313,"pg3423me4a",25,"male","student","bachelor"
314,"p1qd74rpug",34,"female","working","bachelor"
315,"p4l2b7gj21",56,"female","working","high_school"
316,"pkd5almter",32,"male","working","professional"
317,"pesfdcklu5",29,"male","working","bachelor"
318,"ptsjf14rim",34,"female","working","bachelor"
319,"pkv7chqkit",31,"male","unemployed","high_school"
320,"p1v037flms",37,"female","working","bachelor"
321,"p9rts1aas1",24,"male","working","high_school"
322,"pmbthn6dul",43,"male","working","bachelor"
323,"ps4dtj5igo",37,"male","working","high_school"
324,"p7qc8llgs1",35,"female","working","doctor"
325,"pmp32ppshu",50,"male","working","high_school"
